Author_Name
"Hogan, Craig J."
"Hogg, David W."
"Holtzman, Jon A."
"Hyde, Joseph B."
"Ichikawa, Shin-ichi"
"Ichikawa, Takashi"
"Im, Myungshin"
"Ivezi?, Željko"
"Jester, Sebastian"
"Jiang, Linhua"
"Johnson, Jennifer A."
"Jorgensen, Anders M."
"Juri?, Mario"
"Kent, Stephen M."
"Kessler, R."
"Kleinman, S. J."
"Knapp, G. R."
"Konishi, Kohki"
"Kron, Richard G."
"Krzesinski, Jurek"
"Kuropatkin, Nikolay"
"Lampeitl, Hubert"
"Lebedeva, Svetlana"
"Lee, Myung Gyoon"
"Lee, Young Sun"
"French Leger, R."
"Lépine, Sébastien"
"Li, Nolan"
"Lima, Marcos"
"Lin, Huan"
"Long, Daniel C."
"Loomis, Craig P."
"Loveday, Jon"
"Lupton, Robert H."
"Magnier, Eugene"
"Malanushenko, Olena"
"Malanushenko, Viktor"
"Mandelbaum, Rachel"
"Margon, Bruce"
"Marriner, John P."
"Martínez-Delgado, David"
"Matsubara, Takahiko"
"McGehee, Peregrine M."
"McKay, Timothy A."
"Meiksin, Avery"
"Morrison, Heather L."
"Mullally, Fergal"
"Munn, Jeffrey A."
"Murphy, Tara"
"Nash, Thomas"
"Nebot, Ada"
"Neilsen, Eric H., Jr."
"Newberg, Heidi Jo"
"Newman, Peter R."
"Nichol, Robert C."
"Nicinski, Tom"
"Nieto-Santisteban, Maria"
"Nitta, Atsuko"
"Okamura, Sadanori"
"Oravetz, Daniel J."
"Ostriker, Jeremiah P."
"Owen, Russell"
"Padmanabhan, Nikhil"
"Pan, Kaike"
"Park, Changbom"
"Pauls, George"
"Peoples, John, Jr."
"Percival, Will J."
"Pier, Jeffrey R."
"Pope, Adrian C."
"Pourbaix, Dimitri"
"Price, Paul A."
"Purger, Norbert"
"Quinn, Thomas"
"Raddick, M. Jordan"
"Re Fiorentin, Paola"
"Richards, Gordon T."
"Richmond, Michael W."
"Riess, Adam G."
"Rix, Hans-Walter"
"Rockosi, Constance M."
"Sako, Masao"
"Schlegel, David J."
"Schneider, Donald P."
"Scholz, Ralf-Dieter"
"Schreiber, Matthias R."
"Schwope, Axel D."
"Seljak, Uroš"
"Sesar, Branimir"
"Sheldon, Erin"
"Shimasaku, Kazu"
"Sibley, Valena C."
"Simmons, A. E."
"Sivarani, Thirupathi"
"Allyn Smith, J."
"Smith, Martin C."
"Smol?i?, Vernesa"
"Snedden, Stephanie A."
"Stebbins, Albert"
"Steinmetz, Matthias"
"Stoughton, Chris"
"Strauss, Michael A."
"SubbaRao, Mark"
"Suto, Yasushi"
"Szalay, Alexander S."
"Szapudi, István"
"Szkody, Paula"
"Tanaka, Masayuki"
"Tegmark, Max"
"Teodoro, Luis F. A."
"Thakar, Aniruddha R."
"Tremonti, Christy A."
"Tucker, Douglas L."
"Uomoto, Alan"
"Vanden Berk, Daniel E."
"Vandenberg, Jan"
"Vidrih, S."
"Vogeley, Michael S."
"Voges, Wolfgang"
"Vogt, Nicole P."
"Wadadekar, Yogesh"
"Watters, Shannon"
"Weinberg, David H."
"West, Andrew A."
"White, Simon D. M."
"Wilhite, Brian C."
"Wonders, Alainna C."
"Yanny, Brian"
"Yocum, D. R."
"York, Donald G."
"Zehavi, Idit"
"Zibetti, Stefano"
"Zucker, Daniel B."
"Spitzer, Lyman"
"Kennicutt, Robert C., Jr."
"Harris, William E."
"Ferrarese, Laura"
"Merritt, David"
"Woosley, S. E."
"Weaver, Thomas A."
"Leitherer, Claus"
"Schaerer, Daniel"
"Goldader, Jeffrey D."
"Delgado, Rosa M. González"
"Robert, Carmelle"
"Kune, Denis Foo"
"de Mello, Duília F."
"Devost, Daniel"
"Heckman, Timothy M."
"Magorrian, John"
"Tremaine, Scott"
"Richstone, Douglas"
"Bender, Ralf"
"Bower, Gary"
"Dressler, Alan"
"Faber, S. M."
"Gebhardt, Karl"
"Green, Richard"
"Grillmair, Carl"
"Kormendy, John"
"Lauer, Tod"
"Gebhardt, Karl"
"Bender, Ralf"
"Bower, Gary"
"Dressler, Alan"
"Faber, S. M."
"Filippenko, Alexei V."
"Green, Richard"
"Grillmair, Carl"
"Ho, Luis C."
"Kormendy, John"
"Lauer, Tod R."
"Magorrian, John"
"Pinkney, Jason"
"Richstone, Douglas"
"Tremaine, Scott"
"Calzetti, Daniela"
"Armus, Lee"
"Bohlin, Ralph C."
"Kinney, Anne L."
"Koornneef, Jan"
"Storchi-Bergmann, Thaisa"
"Schlafly, Edward F."
"Finkbeiner, Douglas P."
"Bohlin, R. C."
"Savage, B. D."
"Drake, J. F."
ESA
"Schaller, G."
"Schaerer, D."
"Meynet, G."
"Maeder, A."
"Toomre, A."
"Croton, Darren J."
"Springel, Volker"
"White, Simon D. M."
"De Lucia, G."
"Frenk, C. S."
"Gao, L."
"Jenkins, A."
"Kauffmann, G."
"Navarro, J. F."
"Yoshida, N."
"van Leeuwen, F."
"Rieke, G. H."
"Lebofsky, M. J."
"Shapiro, Stuart L."
"Teukolsky, Saul A."
"Mayor, Michel"
"Queloz, Didier"
"Burbidge, E. Margaret"
"Burbidge, G. R."
"Fowler, William A."
"Hoyle, F."
"Moore, Ben"
